ID,EXAMPLE,ENTITIES,V,A,D,EDU,MAJOR,EXP,ROLE,LANG
10,CL,2,6,5,7,3,SE,14,D,JS
10,AH,13,3,5,3,3,SE,14,D,JS
11,BL,8,7,3,4,3,SE,9,A,CS
11,AH,13,7,5,6,3,SE,9,A,CS
11,CH,3,3,5,7,3,SE,9,A,CS
11,EL,5,5,3,8,3,SE,9,A,CS
11,DH,4,2,3,9,3,SE,9,A,CS
12,BH,10,3,5,5,1,NONE,3,D,CS
12,DL,3,3,3,3,1,NONE,3,D,CS
12,CL,2,3,3,5,1,NONE,3,D,CS
12,AH,13,3,3,6,1,NONE,3,D,CS
12,EL,5,3,7,5,1,NONE,3,D,CS
13,CH,3,7,6,3,3,CS,9,M,CS
13,AL,8,3,8,8,3,CS,9,M,CS
13,DL,3,5,8,3,3,CS,9,M,CS
13,BH,10,9,3,5,3,CS,9,M,CS
13,EL,5,3,3,7,3,CS,9,M,CS
14,DL,3,3,5,3,2,NONE,20,D,CS
14,EH,4,5,4,4,2,NONE,20,D,CS
14,BH,10,7,7,5,2,NONE,20,D,CS
14,AL,8,3,5,6,2,NONE,20,D,CS
14,CH,3,4,4,7,2,NONE,20,D,CS
15,BL,8,6,3,2,5,SE,20,A,R
15,EH,4,7,4,4,5,SE,20,A,R
15,CH,3,7,3,2,5,SE,20,A,R
15,DL,3,4,6,7,5,SE,20,A,R
15,AH,13,9,3,5,5,SE,20,A,R
16,BL,8,3,3,2,3,SE,6,D,CS
16,EH,4,3,7,7,3,SE,6,D,CS
16,AH,13,2,6,4,3,SE,6,D,CS
16,DL,3,3,4,7,3,SE,6,D,CS
16,CH,3,4,5,3,3,SE,6,D,CS
17,AL,8,4,7,2,3,SE,8,D,CS
17,BH,10,6,4,5,3,SE,8,D,CS
17,CH,3,5,3,3,3,SE,8,D,CS
17,DL,3,2,5,8,3,SE,8,D,CS
17,EH,4,3,3,8,3,SE,8,D,CS
18,BH,10,7,7,4,3,SE,4,SD,CS
18,DL,3,2,3,8,3,SE,4,SD,CS
18,CL,2,5,6,6,3,SE,4,SD,CS
18,AH,13,6,5,5,3,SE,4,SD,CS
18,EL,5,4,6,6,3,SE,4,SD,CS
19,CL,2,5,9,6,5,CS,6,D,P
19,BH,10,5,9,5,5,CS,6,D,P
19,AH,13,5,9,5,5,CS,6,D,P
19,EL,5,5,9,5,5,CS,6,D,P
19,DH,4,5,8,5,5,CS,6,D,P
20,DL,3,3,6,7,7,EE,4,M,CP
20,EH,4,3,5,8,7,EE,4,M,CP
20,CH,3,7,3,5,7,EE,4,M,CP
20,AL,8,7,3,2,7,EE,4,M,CP
20,BH,10,4,3,3,7,EE,4,M,CP
21,AH,13,5,2,9,5,SE,2,D,CS
21,DL,3,4,7,1,5,SE,2,D,CS
21,CL,2,5,6,2,5,SE,2,D,CS
21,EH,4,2,4,5,5,SE,2,D,CS
21,BL,8,6,6,2,5,SE,2,D,CS
22,CH,3,3,5,7,3,BA,2,D,M
22,EL,5,7,7,3,3,BA,2,D,M
22,BL,8,4,8,5,3,BA,2,D,M
22,DH,4,3,9,8,3,BA,2,D,M
22,AL,8,5,3,1,3,BA,2,D,M
23,DL,3,4,5,6,3,EE,18,D,CS
23,EH,4,4,7,7,3,EE,18,D,CS
23,BH,10,6,4,3,3,EE,18,D,CS
23,AL,8,7,5,3,3,EE,18,D,CS
23,CH,3,3,7,7,3,EE,18,D,CS
24,BL,8,5,7,7,5,CS,35,A,CS
24,EH,4,7,5,3,5,CS,35,A,CS
24,AH,13,5,9,9,5,CS,35,A,CS
24,CL,2,7,3,5,5,CS,35,A,CS
24,DH,4,5,7,7,5,CS,35,A,CS
25,DL,3,3,5,5,3,SE,6,D,J
25,CH,3,3,3,7,3,SE,6,D,J
25,BH,10,7,5,9,3,SE,6,D,J
25,AL,8,5,3,5,3,SE,6,D,J
25,EH,4,7,5,7,3,SE,6,D,J
26,DL,3,3,4,8,5,CS,11,A,J
26,CH,3,5,7,8,5,CS,11,A,J
26,AH,13,7,3,3,5,CS,11,A,J
26,EL,5,5,7,8,5,CS,11,A,J
26,BH,10,7,5,5,5,CS,11,A,J
27,DH,4,3,7,7,3,SE,1,D,JS
27,EL,5,9,5,3,3,SE,1,D,JS
27,BL,8,7,5,3,3,SE,1,D,JS
27,AH,13,5,9,9,3,SE,1,D,JS
27,CL,2,1,5,5,3,SE,1,D,JS
28,CH,3,7,4,7,5,CS,4,M,C
28,BL,8,5,7,3,5,CS,4,M,C
28,EL,5,5,7,7,5,CS,4,M,C
28,DH,4,5,9,7,5,CS,4,M,C
28,AL,8,5,7,2,5,CS,4,M,C
29,EH,4,7,5,6,2,SE,15,D,CS
29,AL,8,2,4,7,2,SE,15,D,CS
29,BL,8,7,4,2,2,SE,15,D,CS
29,DH,4,7,7,3,2,SE,15,D,CS
29,CL,2,8,3,3,2,SE,15,D,CS
30,CH,3,5,5,4,2,CS,8,D,CS
30,AL,8,3,5,5,2,CS,8,D,CS
30,EL,5,5,5,5,2,CS,8,D,CS
30,DH,4,4,5,6,2,CS,8,D,CS
30,BL,8,6,6,5,2,CS,8,D,CS
31,AL,8,3,1,1,4,CS,21,A,A
31,CH,3,3,7,1,4,CS,21,A,A
31,DH,4,7,1,1,4,CS,21,A,A
31,BL,8,9,3,1,4,CS,21,A,A
31,EH,4,1,3,7,4,CS,21,A,A
32,AH,13,3,5,6,5,SE,3,M,CS
32,EL,5,7,4,5,5,SE,3,M,CS
32,BL,8,8,3,2,5,SE,3,M,CS
32,DH,4,4,7,6,5,SE,3,M,CS
32,CL,2,7,5,5,5,SE,3,M,CS
33,BH,10,6,6,3,5,SE,2,D,J
33,EL,5,3,7,6,5,SE,2,D,J
33,DL,3,3,7,5,5,SE,2,D,J
33,CH,3,4,7,6,5,SE,2,D,J
33,AL,8,7,7,4,5,SE,2,D,J
34,CH,3,7,7,5,5,CS,6,D,J
34,AL,8,1,5,9,5,CS,6,D,J
34,DL,3,1,5,9,5,CS,6,D,J
34,EH,4,1,3,7,5,CS,6,D,J
34,BL,8,7,5,5,5,CS,6,D,J
35,BH,10,7,3,3,3,SE,6,D,J
35,EL,5,3,8,3,3,SE,6,D,J
35,AL,8,1,4,7,3,SE,6,D,J
35,CH,3,7,7,5,3,SE,6,D,J
35,DL,3,1,4,9,3,SE,6,D,J
36,EL,5,1,3,9,5,CS,19,D,CS
36,BH,10,3,3,7,5,CS,19,D,CS
36,CH,3,5,7,5,5,CS,19,D,CS
36,AL,8,1,3,8,5,CS,19,D,CS
36,DH,4,5,5,3,5,CS,19,D,CS
37,DH,4,8,3,3,4,EP,12,D,CS
37,AL,8,4,7,7,4,EP,12,D,CS
37,CL,2,8,4,2,4,EP,12,D,CS
37,BH,10,6,5,3,4,EP,12,D,CS
37,EL,5,6,6,5,4,EP,12,D,CS
38,EH,4,2,7,8,3,EE,23,SD,J
38,DL,3,7,9,9,3,EE,23,SD,J
38,CL,2,8,7,4,3,EE,23,SD,J
38,BH,10,7,8,3,3,EE,23,SD,J
38,AL,8,5,8,5,3,EE,23,SD,J
39,BL,8,4,4,5,3,CS,4,D,CS
39,CH,3,3,4,7,3,CS,4,D,CS
39,DH,4,6,5,1,3,CS,4,D,CS
39,EL,5,3,3,7,3,CS,4,D,CS
39,AH,13,3,5,8,3,CS,4,D,CS
40,CL,2,8,2,2,5,SE,7,A,CS
40,DH,4,3,8,8,5,SE,7,A,CS
40,BH,10,9,5,1,5,SE,7,A,CS
40,EL,5,8,2,3,5,SE,7,A,CS
40,AH,13,5,7,4,5,SE,7,A,CS
